Symbol	Symbol	Strike	Last	Theoretical	IV	Delta	Gamma	Rho	Theta	Vega	Volume	Open Int	Vol/OI	Type	DTE	Exp Date	Last Trade	Avg IV
SPY|20220121|382.00P	SPY	382	31.52	31.52	22.53%	-43.68	0.00462	-1.85831	-0.05543	1.45778	1	226	0	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|383.00P	SPY	383	32.86	32.2	22.63%	-44.13	0.00461	-1.88094	-0.05579	1.46015	2	132	0.02	Put	336	01/21/22	02/18/21	21.80%
SPY|20220121|384.00P	SPY	384	32.43	32.43	22.43%	-44.64	0.00466	-1.90117	-0.0555	1.46253	6	197	0.03	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|385.00P	SPY	385	32.68	32.68	22.23%	-45.15	0.00471	-1.92179	-0.05521	1.46469	92	"6,246"	0.01	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|386.00P	SPY	386	32.95	32.95	22.04%	-45.66	0.00475	-1.94279	-0.05495	1.46662	7	30	0.23	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|387.00P	SPY	387	33.31	33.31	21.91%	-46.17	0.00479	-1.96441	-0.05479	1.46828	7	57	0.12	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|388.00P	SPY	388	33.92	33.92	21.95%	-46.64	0.00478	-1.98698	-0.05499	1.46959	6	73	0.08	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|389.00P	SPY	389	34.07	34.07	21.67%	-47.2	0.00485	-2.00837	-0.05451	1.47087	11	61	0.18	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|390.00P	SPY	390	34.52	34.52	21.60%	-47.71	0.00487	-2.03078	-0.05445	1.47178	147	"1,422"	0.1	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|391.00P	SPY	391	35.14	35.14	21.63%	-48.19	0.00486	-2.05354	-0.05461	1.47241	6	106	0.06	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|392.00P	SPY	392	35.32	35.32	21.36%	-48.76	0.00492	-2.07593	-0.05413	1.47288	4	138	0.03	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|393.00P	SPY	393	35.93	35.93	21.39%	-49.24	0.00492	-2.09883	-0.05426	1.47304	6	73	0.08	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|394.00P	SPY	394	36.03	36.03	21.06%	-49.86	0.005	-2.12195	-0.05363	1.47291	7	88	0.08	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|395.00P	SPY	395	36.94	36.94	21.28%	-50.26	0.00494	-2.14472	-0.05416	1.47263	2	"8,585"	0	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|396.00P	SPY	396	38.26	37.3	21.12%	-50.82	0.00498	-2.16806	-0.05388	1.47199	2	2	1	Put	336	01/21/22	02/18/21	21.80%
SPY|20220121|397.00P	SPY	397	38.49	37.73	21.01%	-51.36	0.005	-2.19153	-0.05368	1.47109	1	3	0.33	Put	336	01/21/22	02/18/21	21.80%
SPY|20220121|398.00P	SPY	398	37.49	38.17	20.89%	-51.91	0.00503	-2.21518	-0.05348	1.46989	1	14	0.07	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|399.00P	SPY	399	39.48	38.61	20.78%	-52.46	0.00505	-2.23901	-0.05327	1.4684	17	17	1	Put	336	01/21/22	02/18/21	21.80%
SPY|20220121|400.00P	SPY	400	38.01	39.06	20.67%	-53.02	0.00507	-2.26304	-0.05305	1.4666	1	"9,097"	0	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|381.00C	SPY	381	36.12	36.12	22.97%	56.48	0.0046	1.35812	-0.0429	1.45123	6	8	0.75	Call	336	01/21/22	02/08/2021	21.80%
SPY|20220121|382.00C	SPY	382	36.08	35.47	22.85%	56	0.00464	1.35028	-0.0428	1.45423	7	318	0.02	Call	336	01/21/22	02/18/21	21.80%
SPY|20220121|383.00C	SPY	383	35.92	34.82	22.74%	55.52	0.00467	1.34226	-0.0427	1.45705	2	22	0.09	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|384.00C	SPY	384	35.66	34.19	22.62%	55.03	0.0047	1.33407	-0.04259	1.45966	1	547	0	Call	336	01/21/22	02/17/21	21.80%
SPY|20220121|385.00C	SPY	385	34.6	33.55	22.51%	54.53	0.00473	1.3257	-0.04247	1.46206	7	"5,031"	0	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|386.00C	SPY	386	34.49	32.93	22.40%	54.03	0.00476	1.31713	-0.04235	1.46424	3	45	0.07	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|387.00C	SPY	387	32.7	32.3	22.28%	53.5	0.00479	1.31826	-0.04219	1.46693	2	36	0.06	Call	336	01/21/22	02/18/21	21.80%
SPY|20220121|388.00C	SPY	388	32.29	31.68	22.17%	52.99	0.00482	1.31051	-0.04205	1.46875	1	102	0.01	Call	336	01/21/22	02/18/21	21.80%
SPY|20220121|389.00C	SPY	389	31.78	31.06	22.05%	52.45	0.00485	1.3093	-0.04188	1.47083	2	87	0.02	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|390.00C	SPY	390	30.75	30.75	22.14%	51.99	0.00483	1.29924	-0.04217	1.47196	167	"6,555"	0.03	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|391.00C	SPY	391	30.7	29.84	21.82%	51.41	0.0049	1.29028	-0.04157	1.4731	9	34	0.26	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|392.00C	SPY	392	30	29.24	21.71%	50.88	0.00493	1.28049	-0.0414	1.47386	10	100	0.1	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|393.00C	SPY	393	29.66	28.64	21.60%	50.36	0.00496	1.27052	-0.04123	1.47436	4	232	0.02	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|394.00C	SPY	394	30.31	28.05	21.49%	49.82	0.00499	1.26037	-0.04105	1.4746	4	223	0.02	Call	336	01/21/22	02/16/21	21.80%
SPY|20220121|395.00C	SPY	395	28.54	27.47	21.37%	49.28	0.00501	1.25253	-0.04085	1.47473	60	"3,652"	0.02	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|396.00C	SPY	396	28.62	26.89	21.26%	48.74	0.00503	1.242	-0.04066	1.47442	6	136	0.04	Call	336	01/21/22	02/17/21	21.80%
SPY|20220121|397.00C	SPY	397	27.05	26.32	21.15%	48.19	0.00506	1.23129	-0.04045	1.47384	21	307	0.07	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|398.00C	SPY	398	26.47	25.75	21.04%	47.64	0.00508	1.22041	-0.04025	1.47297	20	141	0.14	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|399.00C	SPY	399	25.91	25.19	20.93%	47.09	0.0051	1.20935	-0.04004	1.4718	24	131	0.18	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|400.00C	SPY	400	24.7	24.7	20.87%	46.56	0.00511	1.19829	-0.03991	1.47041	96	"14,586"	0.01	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|381.00P	SPY	381	31.55	31.55	22.92%	-43.16	0.00454	-1.84021	-0.05608	1.45489	2	193	0.01	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|382.00P	SPY	382	31.52	31.52	22.53%	-43.68	0.00462	-1.85831	-0.05543	1.45778	1	226	0	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|383.00P	SPY	383	32.86	32.2	22.63%	-44.13	0.00461	-1.88094	-0.05579	1.46015	2	132	0.02	Put	336	01/21/22	02/18/21	21.80%
SPY|20220121|384.00P	SPY	384	32.43	32.43	22.43%	-44.64	0.00466	-1.90117	-0.0555	1.46253	6	197	0.03	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|385.00P	SPY	385	32.68	32.68	22.23%	-45.15	0.00471	-1.92179	-0.05521	1.46469	92	"6,246"	0.01	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|386.00P	SPY	386	32.95	32.95	22.04%	-45.66	0.00475	-1.94279	-0.05495	1.46662	7	30	0.23	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|387.00P	SPY	387	33.31	33.31	21.91%	-46.17	0.00479	-1.96441	-0.05479	1.46828	7	57	0.12	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|388.00P	SPY	388	33.92	33.92	21.95%	-46.64	0.00478	-1.98698	-0.05499	1.46959	6	73	0.08	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|389.00P	SPY	389	34.07	34.07	21.67%	-47.2	0.00485	-2.00837	-0.05451	1.47087	11	61	0.18	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|390.00P	SPY	390	34.52	34.52	21.60%	-47.71	0.00487	-2.03078	-0.05445	1.47178	147	"1,422"	0.1	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|391.00P	SPY	391	35.14	35.14	21.63%	-48.19	0.00486	-2.05354	-0.05461	1.47241	6	106	0.06	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|392.00P	SPY	392	35.32	35.32	21.36%	-48.76	0.00492	-2.07593	-0.05413	1.47288	4	138	0.03	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|393.00P	SPY	393	35.93	35.93	21.39%	-49.24	0.00492	-2.09883	-0.05426	1.47304	6	73	0.08	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|394.00P	SPY	394	36.03	36.03	21.06%	-49.86	0.005	-2.12195	-0.05363	1.47291	7	88	0.08	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|395.00P	SPY	395	36.94	36.94	21.28%	-50.26	0.00494	-2.14472	-0.05416	1.47263	2	"8,585"	0	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|396.00P	SPY	396	38.26	37.3	21.12%	-50.82	0.00498	-2.16806	-0.05388	1.47199	2	2	1	Put	336	01/21/22	02/18/21	21.80%
SPY|20220121|397.00P	SPY	397	38.49	37.73	21.01%	-51.36	0.005	-2.19153	-0.05368	1.47109	1	3	0.33	Put	336	01/21/22	02/18/21	21.80%
SPY|20220121|398.00P	SPY	398	37.49	38.17	20.89%	-51.91	0.00503	-2.21518	-0.05348	1.46989	1	14	0.07	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|399.00P	SPY	399	39.48	38.61	20.78%	-52.46	0.00505	-2.23901	-0.05327	1.4684	17	17	1	Put	336	01/21/22	02/18/21	21.80%
SPY|20220121|400.00P	SPY	400	38.01	39.06	20.67%	-53.02	0.00507	-2.26304	-0.05305	1.4666	1	"9,097"	0	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|381.00C	SPY	381	36.12	36.12	22.97%	56.48	0.0046	1.35812	-0.0429	1.45123	6	8	0.75	Call	336	01/21/22	02/08/2021	21.80%
SPY|20220121|382.00C	SPY	382	36.08	35.47	22.85%	56	0.00464	1.35028	-0.0428	1.45423	7	318	0.02	Call	336	01/21/22	02/18/21	21.80%
SPY|20220121|383.00C	SPY	383	35.92	34.82	22.74%	55.52	0.00467	1.34226	-0.0427	1.45705	2	22	0.09	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|384.00C	SPY	384	35.66	34.19	22.62%	55.03	0.0047	1.33407	-0.04259	1.45966	1	547	0	Call	336	01/21/22	02/17/21	21.80%
SPY|20220121|385.00C	SPY	385	34.6	33.55	22.51%	54.53	0.00473	1.3257	-0.04247	1.46206	7	"5,031"	0	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|386.00C	SPY	386	34.49	32.93	22.40%	54.03	0.00476	1.31713	-0.04235	1.46424	3	45	0.07	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|387.00C	SPY	387	32.7	32.3	22.28%	53.5	0.00479	1.31826	-0.04219	1.46693	2	36	0.06	Call	336	01/21/22	02/18/21	21.80%
SPY|20220121|388.00C	SPY	388	32.29	31.68	22.17%	52.99	0.00482	1.31051	-0.04205	1.46875	1	102	0.01	Call	336	01/21/22	02/18/21	21.80%
SPY|20220121|389.00C	SPY	389	31.78	31.06	22.05%	52.45	0.00485	1.3093	-0.04188	1.47083	2	87	0.02	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|390.00C	SPY	390	30.75	30.75	22.14%	51.99	0.00483	1.29924	-0.04217	1.47196	167	"6,555"	0.03	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|391.00C	SPY	391	30.7	29.84	21.82%	51.41	0.0049	1.29028	-0.04157	1.4731	9	34	0.26	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|392.00C	SPY	392	30	29.24	21.71%	50.88	0.00493	1.28049	-0.0414	1.47386	10	100	0.1	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|393.00C	SPY	393	29.66	28.64	21.60%	50.36	0.00496	1.27052	-0.04123	1.47436	4	232	0.02	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|394.00C	SPY	394	30.31	28.05	21.49%	49.82	0.00499	1.26037	-0.04105	1.4746	4	223	0.02	Call	336	01/21/22	02/16/21	21.80%
SPY|20220121|395.00C	SPY	395	28.54	27.47	21.37%	49.28	0.00501	1.25253	-0.04085	1.47473	60	"3,652"	0.02	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|396.00C	SPY	396	28.62	26.89	21.26%	48.74	0.00503	1.242	-0.04066	1.47442	6	136	0.04	Call	336	01/21/22	02/17/21	21.80%
SPY|20220121|397.00C	SPY	397	27.05	26.32	21.15%	48.19	0.00506	1.23129	-0.04045	1.47384	21	307	0.07	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|398.00C	SPY	398	26.47	25.75	21.04%	47.64	0.00508	1.22041	-0.04025	1.47297	20	141	0.14	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|399.00C	SPY	399	25.91	25.19	20.93%	47.09	0.0051	1.20935	-0.04004	1.4718	24	131	0.18	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|400.00C	SPY	400	24.7	24.7	20.87%	46.56	0.00511	1.19829	-0.03991	1.47041	96	"14,586"	0.01	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|381.00P	SPY	381	31.55	31.55	22.92%	-43.16	0.00454	-1.84021	-0.05608	1.45489	2	193	0.01	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|382.00P	SPY	382	31.52	31.52	22.53%	-43.68	0.00462	-1.85831	-0.05543	1.45778	1	226	0	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|383.00P	SPY	383	32.86	32.2	22.63%	-44.13	0.00461	-1.88094	-0.05579	1.46015	2	132	0.02	Put	336	01/21/22	02/18/21	21.80%
SPY|20220121|384.00P	SPY	384	32.43	32.43	22.43%	-44.64	0.00466	-1.90117	-0.0555	1.46253	6	197	0.03	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|385.00P	SPY	385	32.68	32.68	22.23%	-45.15	0.00471	-1.92179	-0.05521	1.46469	92	"6,246"	0.01	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|386.00P	SPY	386	32.95	32.95	22.04%	-45.66	0.00475	-1.94279	-0.05495	1.46662	7	30	0.23	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|387.00P	SPY	387	33.31	33.31	21.91%	-46.17	0.00479	-1.96441	-0.05479	1.46828	7	57	0.12	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|388.00P	SPY	388	33.92	33.92	21.95%	-46.64	0.00478	-1.98698	-0.05499	1.46959	6	73	0.08	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|389.00P	SPY	389	34.07	34.07	21.67%	-47.2	0.00485	-2.00837	-0.05451	1.47087	11	61	0.18	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|390.00P	SPY	390	34.52	34.52	21.60%	-47.71	0.00487	-2.03078	-0.05445	1.47178	147	"1,422"	0.1	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|391.00P	SPY	391	35.14	35.14	21.63%	-48.19	0.00486	-2.05354	-0.05461	1.47241	6	106	0.06	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|392.00P	SPY	392	35.32	35.32	21.36%	-48.76	0.00492	-2.07593	-0.05413	1.47288	4	138	0.03	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|393.00P	SPY	393	35.93	35.93	21.39%	-49.24	0.00492	-2.09883	-0.05426	1.47304	6	73	0.08	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|394.00P	SPY	394	36.03	36.03	21.06%	-49.86	0.005	-2.12195	-0.05363	1.47291	7	88	0.08	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|395.00P	SPY	395	36.94	36.94	21.28%	-50.26	0.00494	-2.14472	-0.05416	1.47263	2	"8,585"	0	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|396.00P	SPY	396	38.26	37.3	21.12%	-50.82	0.00498	-2.16806	-0.05388	1.47199	2	2	1	Put	336	01/21/22	02/18/21	21.80%
SPY|20220121|397.00P	SPY	397	38.49	37.73	21.01%	-51.36	0.005	-2.19153	-0.05368	1.47109	1	3	0.33	Put	336	01/21/22	02/18/21	21.80%
SPY|20220121|398.00P	SPY	398	37.49	38.17	20.89%	-51.91	0.00503	-2.21518	-0.05348	1.46989	1	14	0.07	Put	336	01/21/22	02/19/21	21.80%
SPY|20220121|399.00P	SPY	399	39.48	38.61	20.78%	-52.46	0.00505	-2.23901	-0.05327	1.4684	17	17	1	Put	336	01/21/22	02/18/21	21.80%
SPY|20220121|400.00P	SPY	400	38.01	39.06	20.67%	-53.02	0.00507	-2.26304	-0.05305	1.4666	1	"9,097"	0	Put	336	01/21/22	02/19/21	21.80%
SPY|20210930|381.00C	SPY	381	31.14	30.57	22.86%	57.08	0.00567	0.94998	-0.05384	1.18462	1	202	0	Call	223	09/30/21	02/11/2021	21.63%
SPY|20210930|382.00C	SPY	382	30.95	29.9	22.72%	56.49	0.00571	0.94313	-0.0537	1.18776	1	10	0.1	Call	223	09/30/21	02/12/2021	21.63%
SPY|20210930|383.00C	SPY	383	30.56	29.25	22.59%	55.91	0.00576	0.93609	-0.05355	1.19068	2	1	2	Call	223	09/30/21	02/11/2021	21.63%
SPY|20210930|384.00C	SPY	384	29.17	28.59	22.45%	55.31	0.00581	0.92889	-0.05338	1.19335	3	16	0.19	Call	223	09/30/21	02/09/2021	21.63%
SPY|20210930|385.00C	SPY	385	30.58	27.77	22.16%	54.69	0.0059	0.92408	-0.0528	1.19599	8	598	0.01	Call	223	09/30/21	02/16/21	21.63%
SPY|20210930|386.00C	SPY	386	30.4	27.31	22.17%	54.09	0.0059	0.9159	-0.053	1.19811	20	15	1.33	Call	223	09/30/21	02/16/21	21.63%
SPY|20210930|387.00C	SPY	387	28.1	26.66	22.03%	53.48	0.00595	0.90816	-0.05277	1.20002	2	28	0.07	Call	223	09/30/21	02/12/2021	21.63%
SPY|20210930|388.00C	SPY	388	26.75	26.03	21.90%	52.86	0.00599	0.90022	-0.05255	1.20164	11	15	0.73	Call	223	09/30/21	02/09/2021	21.63%
SPY|20210930|389.00C	SPY	389	27.45	25.4	21.75%	52.23	0.00604	0.89213	-0.0523	1.20299	3	179	0.02	Call	223	09/30/21	02/12/2021	21.63%
SPY|20210930|390.00C	SPY	390	25.09	25.09	21.88%	51.63	0.00601	0.88858	-0.05272	1.20432	2	661	0	Call	223	09/30/21	02/19/21	21.63%
SPY|20210930|391.00C	SPY	391	24.96	24.17	21.49%	50.93	0.00612	0.88046	-0.0518	1.20514	1	17	0.06	Call	223	09/30/21	02/19/21	21.63%
SPY|20210930|392.00C	SPY	392	24.37	23.55	21.34%	50.27	0.00771	0.87428	-0.05148	1.20575	12	14	0.86	Call	223	09/30/21	02/19/21	21.63%
SPY|20210930|393.00C	SPY	393	24.44	22.97	21.22%	49.62	0.0062	0.86535	-0.05123	1.20585	1	10	0.1	Call	223	09/30/21	02/19/21	21.63%
SPY|20210930|394.00C	SPY	394	22.99	22.38	21.09%	48.96	0.00623	0.85623	-0.05093	1.20562	1	27	0.04	Call	223	09/30/21	02/18/21	21.63%
SPY|20210930|395.00C	SPY	395	23.5	21.79	20.95%	48.29	0.00627	0.84692	-0.0506	1.20505	4	68	0.06	Call	223	09/30/21	02/17/21	21.63%
SPY|20210930|396.00C	SPY	396	23.68	21.2	20.80%	47.61	0.00631	0.83743	-0.05025	1.20413	1	4	0.25	Call	223	09/30/21	02/16/21	21.63%
SPY|20210930|397.00C	SPY	397	21.27	20.64	20.68%	46.94	0.00634	0.82779	-0.04993	1.20285	1	40	0.03	Call	223	09/30/21	02/18/21	21.63%
SPY|20210930|398.00C	SPY	398	20.53	20.53	20.93%	46.43	0.00626	0.81908	-0.05061	1.20167	1	1	1	Call	223	09/30/21	02/19/21	21.63%
SPY|20210930|399.00C	SPY	399	20.45	19.51	20.42%	45.56	0.0064	0.80795	-0.04921	1.19917	1	13	0.08	Call	223	09/30/21	02/18/21	21.63%
SPY|20210930|400.00C	SPY	400	19.59	19.59	20.81%	45.15	0.00627	0.79998	-0.05025	1.19777	38	371	0.1	Call	223	09/30/21	02/19/21	21.63%
SPY|20210930|381.00P	SPY	381	24.15	24.15	22.51%	-42.78	0.00568	-1.16708	-0.06636	1.18771	2	14	0.14	Put	223	09/30/21	02/19/21	21.63%
SPY|20210930|382.00P	SPY	382	25.89	25.09	22.87%	-43.35	0.0056	-1.18634	-0.06755	1.19057	1	19	0.05	Put	223	09/30/21	02/05/2021	21.63%
SPY|20210930|383.00P	SPY	383	30.52	25.43	22.73%	-43.93	0.00565	-1.20225	-0.06739	1.19323	4	7	0.57	Put	223	09/30/21	01/27/21	21.63%
SPY|20210930|384.00P	SPY	384	25.89	25.79	22.59%	-44.52	0.0057	-1.21842	-0.06725	1.19564	1	3	0.33	Put	223	09/30/21	02/10/2021	21.63%
SPY|20210930|385.00P	SPY	385	25.9	25.9	22.25%	-45.14	0.00579	-1.2338	-0.06654	1.19789	2	153	0.01	Put	223	09/30/21	02/19/21	21.63%
SPY|20210930|386.00P	SPY	386	27.71	26.51	22.32%	-45.71	0.00578	-1.25128	-0.06691	1.19974	1	1	1	Put	223	09/30/21	02/05/2021	21.63%
SPY|20210930|387.00P	SPY	387	27.24	26.88	22.19%	-46.32	0.00583	-1.26798	-0.06671	1.20139	3	4	0.75	Put	223	09/30/21	02/08/2021	21.63%
SPY|20210930|388.00P	SPY	388	28.35	27.25	22.04%	-46.93	0.00587	-1.28485	-0.06648	1.20278	1	29	0.03	Put	223	09/30/21	02/18/21	21.63%
SPY|20210930|389.00P	SPY	389	28.5	27.79	22.04%	-47.52	0.00588	-1.30223	-0.06661	1.20385	3	16	0.19	Put	223	09/30/21	02/18/21	21.63%
SPY|20210930|390.00P	SPY	390	27.96	27.96	21.73%	-48.19	0.00597	-1.31915	-0.06591	1.20472	11	142	0.08	Put	223	09/30/21	02/19/21	21.63%
SPY|20210930|391.00P	SPY	391	28.17	28.17	21.44%	-48.86	0.00605	-1.33652	-0.06526	1.20526	6	16	0.38	Put	223	09/30/21	02/19/21	21.63%
SPY|20210930|392.00P	SPY	392	28.68	28.68	21.39%	-49.48	0.00606	-1.35431	-0.06525	1.20544	1	4	0.25	Put	223	09/30/21	02/19/21	21.63%
SPY|20210930|393.00P	SPY	393	28.9	29.24	21.39%	-50.08	0.00606	-1.37215	-0.06532	1.20534	10	13	0.77	Put	223	09/30/21	02/18/21	21.63%
SPY|20210930|394.00P	SPY	394	28	29.64	21.24%	-50.74	0.00611	-1.39018	-0.06499	1.2049	1	3	0.33	Put	223	09/30/21	02/16/21	21.63%
SPY|20210930|395.00P	SPY	395	29.75	30.2	21.23%	-51.35	0.00611	-1.40813	-0.06501	1.20421	1	3	0.33	Put	223	09/30/21	02/18/21	21.63%
SPY|20210930|396.00P	SPY	396	29.57	30.49	20.98%	-52.06	0.00617	-1.42674	-0.06439	1.20304	1	1	1	Put	223	09/30/21	02/19/21	21.63%
